alg,task_type,task_level,n_arms,wsteps,tplanning_moaw,ctrl_freq_moaw,sim_clocktime,sim_physics_time
"SD(400, 5)",reach,6,4,500,0.05284940767288208,18.92168794378214,147.00452542304993,4.150000216439366
"SD(400, 5)",reach,9,4,500,0.059471529006958006,16.814768624546424,166.47948551177979,4.150000216439366
"SD(400, 5)",reach,1,4,500,0.05173238658905029,19.33025065987697,141.67661499977112,4.150000216439366
"SD(400, 5)",reach,3,4,500,0.05707477569580078,17.520874813942967,154.98152351379395,4.150000216439366
"SD(400, 5)",reach,8,4,500,0.08835587739944457,11.317866218215906,173.1594557762146,4.150000216439366
"SD(400, 5)",reach,8,4,500,0.05678769779205322,17.609447800856938,155.93978238105774,4.150000216439366
"SD(400, 5)",reach,3,4,500,0.05672687578201294,17.628328481243134,155.4163212776184,4.150000216439366
"SD(400, 5)",reach,10,4,500,0.06268312311172486,15.953257437693788,171.9130139350891,4.150000216439366
"SD(400, 5)",reach,10,4,500,0.06576514959335328,15.205621916521384,182.02119874954224,4.150000216439366
CC(1000),reach,3,4,500,0.032420625686645506,30.8445620286691,55.545984506607056,4.150000216439366
CC(1000),reach,2,4,500,0.01771679401397705,56.443620624086094,48.54147815704346,4.150000216439366
CC(1000),reach,4,4,500,0.03197609519958496,31.273361983641443,57.361316204071045,4.150000216439366
CC(1000),reach,10,4,500,0.45396944189071653,2.2027914386376883,261.9247386455536,4.150000216439366
CC(1000),reach,7,4,500,1.7521138863563537,0.5707391555919756,892.8481905460358,4.150000216439366
CC(1000),reach,5,4,500,0.030107647895812988,33.21415221343372,53.03326439857483,4.150000216439366
CC(1000),reach,3,4,500,0.006164582729339599,162.2169810846432,43.586188077926636,4.150000216439366
CC(1000),reach,4,4,500,0.013249281406402589,75.47579142796073,48.52705907821655,4.150000216439366
CC(1000),reach,4,4,500,0.03247544288635254,30.792497688160534,58.279407262802124,4.150000216439366
CC(1000),reach,2,4,500,0.03229192018508911,30.96749881296167,53.81360054016113,4.150000216439366
CC(1000),reach,6,4,500,1.7500614504814147,0.5714085066698176,889.699615240097,4.150000216439366
CC(1000),reach,8,4,500,1.762367235660553,0.5674186286294581,900.1487679481506,4.150000216439366
CC(1000),reach,7,4,500,0.9813338170051574,1.0190212368832945,517.1209144592285,4.150000216439366
CC(1000),reach,8,4,500,0.9610682582855224,1.0405088206574724,509.3468563556671,4.150000216439366
CC(1000),reach,9,4,500,0.7830133557319641,1.277117424217108,421.9394750595093,4.150000216439366
CC(1000),reach,4,4,500,0.01270473575592041,78.7108066796273,48.30374073982239,4.150000216439366
CC(1000),reach,7,4,500,1.0447747144699098,0.9571441442353176,547.4445056915283,4.150000216439366
CC(1000),reach,1,4,500,0.00801453161239624,124.77335524552421,33.20700526237488,4.150000216439366
CC(1000),reach,10,4,500,0.9614574842453003,1.0400875924169999,510.4631440639496,4.150000216439366
CC(1000),reach,4,4,500,0.5582010555267334,1.7914692028956725,311.98821663856506,4.150000216439366
CC(1000),reach,1,4,500,0.00672401762008667,148.72060968619388,33.332398653030396,4.150000216439366
CC(1000),reach,6,4,500,0.8448353972434998,1.1836625255792619,443.91292929649353,4.150000216439366
CC(1000),reach,2,4,500,0.05234516334533691,19.103961781582317,63.7555365562439,4.150000216439366
CC(1000),reach,2,4,500,0.6456570692062378,1.548809805845364,351.43725872039795,4.150000216439366
CC(1000),reach,10,4,500,0.4193052606582642,2.3848973381113976,244.98576068878174,4.150000216439366
CC(1000),reach,7,4,500,1.032569989681244,0.9684573539743312,542.6731252670288,4.150000216439366
CC(1000),reach,6,4,500,1.6917429633140564,0.5911063451631211,860.7650692462921,4.150000216439366
CC(1000),reach,1,4,500,0.03666988849639893,27.270331080995856,48.759546995162964,4.150000216439366
CC(1000),reach,8,4,500,1.8235929412841796,0.5483679923085231,931.3465747833252,4.150000216439366
CC(1000),reach,5,4,500,0.030002743244171143,33.3302855629469,53.18113613128662,4.150000216439366
CC(1000),reach,8,4,500,1.7716753454208374,0.5644374984303141,905.6090655326843,4.150000216439366
CC(1000),reach,3,4,500,0.023744874477386473,42.11435191844682,51.831923484802246,4.150000216439366
CC(1000),reach,8,4,500,1.0274024085998534,0.9733284559482418,540.7002930641174,4.150000216439366
CC(1000),reach,5,4,500,0.021352471351623534,46.83298638047184,48.52815842628479,4.150000216439366
